CI_stem,N12,No of mistletoes,Stand,ID,DBH,Distance from infected stem,Infected,Max_size of mistletoe,Min distance to mistletoe 120cm in diameter,Min distance to mistletoe 100cm in diameter,Min distance to mistletoe 50cm in diameter,Min distance to mistletoe
9.271056901,34,0,äobes,1481,13,9.60147,0,0,44.68546,25.36809,9.60147,9.60147
4.721696745,37,0,äobes,1108,26,2.92055,0,0,34.35573,10.07524,2.92055,2.92055
5.116008194,35,0,äobes,1109,24,4.93306,0,0,32.46167,12.49953,4.93306,4.93306
6.039251279,43,0,äobes,1477,20,3.9222,0,0,38.05741,17.92419,3.9222,3.9222
6.564570058,50,0,äobes,1149,19,6.90594,0,0,29.63213,6.90594,6.90594,6.90594
7.919404954,63,0,äobes,1154,19,8.34611,0,0,28.67606,10.85416,10.85416,8.34611
5.751024999,35,0,äobes,1482,21,9.44645,0,0,44.20504,25.68811,9.44645,9.44645
13.55174657,52,0,äobes,1147,10,6.95155,0,0,29.35229,6.95155,6.95155,6.95155
2.715683963,22,0,äobes,1432,24,6.65075,0,0,29.07662,15.62809,13.43283,6.65075
4.970266608,36,0,äobes,1483,24,8.48236,0,0,43.84832,24.95928,8.48236,8.48236
4.898691818,41,0,äobes,1113,27,8.26524,0,0,29.61475,15.88595,8.26524,8.26524
10.92565506,52,0,äobes,1148,12,7.21183,0,0,29.14438,7.21183,7.21183,7.21183
4.847224112,40,0,äobes,1111,28,7.07654,0,0,30.28559,14.70313,7.07654,7.07654
5.378194986,45,0,äobes,1120,23,3.3728,0,0,33.20363,5.91181,3.3728,3.3728
4.992158735,44,0,äobes,1119,26,2.35677,0,0,33.71923,6.72946,2.35677,2.35677
4.731594653,40,0,äobes,62,28,4.54191,0,0,49.65487,21.00759,4.54191,4.54191
6.177685934,36,0,äobes,1484,20,8.89227,0,0,43.56319,25.70319,8.89227,8.89227
3.979544947,42,0,äobes,1112,34,7.5744,0,0,29.62134,15.17967,7.5744,7.5744
8.467807343,63,0,äobes,1155,18,7.51157,0,0,27.73462,10.20482,10.20482,7.51157
2.480132933,20,0,äobes,1430,37,0.97066,0,0,22.50664,22.50664,14.03074,0.97066
7.208892179,69,0,äobes,1157,22,6.95154,0,0,27.38635,11.31312,11.31312,6.95154
4.585950572,39,0,äobes,1116,29,0.6571,0,0,33.93082,7.74577,0.6571,0.6571
2.207910868,20,0,äobes,1429,41,0.84663,0,0,22.09002,22.09002,14.19917,0.84663
7.088598817,67,0,äobes,1156,22,6.75972,0,0,27.0862,10.62799,10.62799,6.75972
4.777853539,37,0,äobes,61,29,3.47864,0,0,48.49281,20.63393,3.47864,3.47864
6.416912964,49,0,äobes,1118,22,1.48206,0,0,32.79844,6.34092,1.48206,1.48206
2.165380972,18,1,äobes,1428,39,7.72326,1,25,21.54811,21.54811,13.35645,7.72326
4.978144435,41,1,äobes,1117,27,7.63117,1,75,33.48531,7.63117,7.63117,7.63117
3.055178872,37,0,äobes,1521,36,11.23915,0,0,42.95479,24.89772,11.23915,11.23915
3.107260204,31,0,äobes,1520,32,12.05534,0,0,43.22376,24.85217,12.05534,12.05534
4.343826498,38,0,äobes,60,32,3.11367,0,0,47.78498,20.71535,3.11367,3.11367
1.783328381,20,0,äobes,80,35,5.74847,0,0,45.5907,12.15617,5.74847,5.74847
4.265094122,32,0,äobes,78,29,1.13219,0,0,46.2883,17.04563,1.13219,1.13219
5.4146545,33,1,äobes,77,25,8.65848,1,70,46.17223,18.17576,8.65848,8.65848
6.07182496,42,0,äobes,1473,24,0.89215,0,0,38.32477,22.24837,0.89215,0.89215
5.304785668,43,1,äobes,1471,27,11.25281,1,60,37.52866,21.83204,14.50463,11.25281
10.86032143,41,0,äobes,1532,12,6.92266,0,0,49.30652,27.38829,6.92266,6.92266
3.832480945,33,0,äobes,79,33,0.77658,0,0,45.71554,17.63472,0.77658,0.77658
4.455486293,31,0,äobes,76,28,1.05142,0,0,46.00028,19.22683,1.05142,1.05142
5.504862198,43,0,äobes,1474,26,1.51616,0,0,38.60559,22.93276,1.51616,1.51616
23.41687189,42,0,äobes,1533,6,6.6239,0,0,49.116,27.60016,6.6239,6.6239
4.852078871,43,0,äobes,1531,26,6.24681,0,0,49.0258,27.38194,6.24681,6.24681
13.15432256,61,0,äobes,1178,12,4.55496,0,0,24.56306,10.77419,10.74586,4.55496
6.144615776,43,0,äobes,1472,24,0.76322,0,0,37.30855,22.56312,0.76322,0.76322
20.39393026,58,0,äobes,1177,8,4.60322,0,0,24.43655,10.60797,10.55226,4.60322
3.549159162,46,1,äobes,1146,29,7.63117,1,100,27.55151,23.76083,7.63117,7.63117
5.638051113,38,0,äobes,59,24,6.31724,0,0,46.88766,24.40416,6.31724,6.31724
5.529451043,39,0,äobes,1518,21,11.28739,0,0,41.14307,22.58202,11.28739,11.28739
4.457560259,38,0,äobes,1519,25,10.47598,0,0,41.17008,22.29541,10.47598,10.47598
8.719524102,36,0,äobes,58,16,6.57989,0,0,46.60594,24.70556,6.57989,6.57989
4.693476011,42,0,äobes,1475,29,1.94157,0,0,37.5741,23.7736,1.94157,1.94157
4.05560592,47,0,äobes,1145,26,0.76672,0,0,26.79404,0.76672,0.76672,0.76672
3.916479176,46,0,äobes,1576,31,3.19937,0,0,44.76433,23.48147,3.19937,3.19937
3.510717387,23,0,äobes,1395,32,4.51646,0,0,19.37043,18.94793,4.51646,4.51646
1.969173389,27,0,äobes,1431,36,9.28991,0,0,27.90859,20.74217,9.28991,9.28991
5.499206407,22,0,äobes,1394,21,5.05226,0,0,19.08873,19.08873,5.05226,5.05226
3.902038773,30,0,äobes,1470,25,5.61978,0,0,31.95673,21.91399,5.61978,5.61978
5.677511677,16,0,äobes,1427,11,3.76413,0,0,17.82192,17.82192,12.19488,3.76413
5.655864292,37,0,äobes,54,23,5.48145,0,0,45.1047,23.63377,5.48145,5.48145
5.918502079,34,0,äobes,57,22,7.28838,0,0,45.75225,25.46374,7.28838,7.28838
3.942473959,21,0,äobes,1393,28,4.85138,0,0,18.55334,18.55334,4.85138,4.85138
9.462454982,49,0,äobes,1184,14,2.73032,0,0,22.40736,12.37429,12.23344,2.73032
8.788062348,51,0,äobes,1188,16,5.34937,0,0,22.62648,10.68543,10.35981,5.34937
18.27070027,51,0,äobes,1187,8,4.80714,0,0,22.4515,11.03114,10.73707,4.80714
4.967537622,50,0,äobes,1179,22,5.07324,0,0,22.9158,7.8099,7.8099,5.07324
3.684951583,26,0,äobes,1389,31,2.27456,0,0,20.32739,17.41521,2.27456,2.27456
6.915660618,23,0,äobes,1392,19,3.71087,0,0,18.50252,17.91268,3.71087,3.71087
5.951054172,33,0,äobes,55,21,6.87027,0,0,44.77187,25.00415,6.87027,6.87027
6.479061411,43,0,äobes,1534,20,4.31586,0,0,46.66612,24.81716,4.31586,4.31586
4.556666557,22,0,äobes,1391,27,3.51831,0,0,18.28078,17.64245,3.51831,3.51831
6.518923773,25,0,äobes,1388,19,2.03408,0,0,20.23097,17.10661,2.03408,2.03408
8.209311881,35,0,äobes,56,16,7.54983,0,0,44.89364,25.69767,7.54983,7.54983
5.334044194,29,0,äobes,1383,18,4.06139,0,0,22.0493,17.33209,4.06139,4.06139
4.130271677,45,0,äobes,1180,25,4.26047,0,0,22.17611,8.61206,8.61206,4.26047
4.704867089,46,0,äobes,1580,29,1.86039,0,0,44.88466,23.1396,1.86039,1.86039
5.88456788,25,0,äobes,1387,21,1.76016,0,0,19.87163,16.90476,1.76016,1.76016
5.011512266,36,0,äobes,1543,21,6.32851,0,0,40.52128,20.19235,6.32851,6.32851
4.300201464,36,0,äobes,1373,25,5.34548,0,0,28.89901,7.066,5.34548,5.34548
5.699448284,35,0,äobes,1544,18,9.49089,0,0,38.84876,19.58746,9.49089,9.49089
4.050103101,21,0,äobes,1390,27,3.33627,0,0,17.53947,16.96664,3.33627,3.33627
9.554370708,43,0,äobes,1577,15,0.8265,0,0,43.37045,21.76572,0.8265,0.8265
4.079665648,50,1,äobes,1182,30,12.87053,1,50,20.50769,12.87053,12.87053,12.87053
3.867088043,28,0,äobes,1467,28,6.99123,0,0,29.30828,23.79196,6.99123,6.99123
8.109679766,47,0,äobes,1186,16,3.95282,0,0,20.56719,12.88423,12.55599,3.95282
8.61817708,39,0,äobes,1485,16,5.12208,0,0,34.79378,21.87521,5.12208,5.12208
1.77640011,19,2,äobes,84,36,8.65848,1,80,39.84373,15.64202,8.65848,8.65848
6.441939554,48,0,äobes,1185,20,3.49,0,0,20.36299,13.2418,12.93398,3.49
